lapangan_usaha,kode,is_utama,tahun,indeks_implisit,laju_implisit
K. Jasa Keuangan dan Asuransi,K,True,2023,161.29,2.72
K. Jasa Keuangan dan Asuransi,K,True,2024,164.13,1.76
K. Jasa Keuangan dan Asuransi,K,True,2025,167.2,1.87
1. Jasa Perantara Keuangan,SUB,False,2021,159.5,5.91
1. Jasa Perantara Keuangan,SUB,False,2022,175.45,10.0
1. Jasa Perantara Keuangan,SUB,False,2023,178.43,1.7
1. Jasa Perantara Keuangan,SUB,False,2024,180.0,0.88
1. Jasa Perantara Keuangan,SUB,False,2025,184.09,2.27
2. Asuransi dan Dana Pensiun,SUB,False,2021,136.55,-2.44
2. Asuransi dan Dana Pensiun,SUB,False,2022,136.07,-0.35
2. Asuransi dan Dana Pensiun,SUB,False,2023,140.13,2.98
2. Asuransi dan Dana Pensiun,SUB,False,2024,143.22,2.21
2. Asuransi dan Dana Pensiun,SUB,False,2025,144.56,0.93
3. Jasa Keuangan Lainnya,SUB,False,2021,145.28,-0.87
3. Jasa Keuangan Lainnya,SUB,False,2022,139.85,-3.74
3. Jasa Keuangan Lainnya,SUB,False,2023,141.61,1.26
3. Jasa Keuangan Lainnya,SUB,False,2024,143.81,1.55
3. Jasa Keuangan Lainnya,SUB,False,2025,146.09,1.59
4. Jasa Penunjang Keuangan,SUB,False,2021,146.24,-0.18
4. Jasa Penunjang Keuangan,SUB,False,2022,142.84,-2.32
4. Jasa Penunjang Keuangan,SUB,False,2023,146.87,2.82
4. Jasa Penunjang Keuangan,SUB,False,2024,150.29,2.33
4. Jasa Penunjang Keuangan,SUB,False,2025,152.81,1.67
L. Real Estat,L,True,2021,138.64,1.27
L. Real Estat,L,True,2022,142.56,2.83
L. Real Estat,L,True,2023,147.03,3.13
L. Real Estat,L,True,2024,148.53,1.02
L. Real Estat,L,True,2025,150.52,1.34
"M,N. Jasa Perusahaan","M,N",True,2021,115.62,-0.04
"M,N. Jasa Perusahaan","M,N",True,2022,133.52,15.47
"M,N. Jasa Perusahaan","M,N",True,2023,142.2,6.5
"M,N. Jasa Perusahaan","M,N",True,2024,145.76,2.51
"M,N. Jasa Perusahaan","M,N",True,2025,148.47,1.86
"O. Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",O,True,2021,166.27,-0.46
"O. Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",O,True,2022,173.0,4.05
"O. Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",O,True,2023,180.18,4.15
"O. Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",O,True,2024,178.79,-0.77
"O. Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",O,True,2025,174.56,-2.37
P. Jasa Pendidikan,P,True,2021,177.65,3.03
P. Jasa Pendidikan,P,True,2022,185.44,4.39
P. Jasa Pendidikan,P,True,2023,188.49,1.64
P. Jasa Pendidikan,P,True,2024,193.1,2.45
P. Jasa Pendidikan,P,True,2025,198.24,2.66
Q. Jasa Kesehatan dan Kegiatan Sosial,Q,True,2021,136.36,0.57
Q. Jasa Kesehatan dan Kegiatan Sosial,Q,True,2022,140.33,2.91
Q. Jasa Kesehatan dan Kegiatan Sosial,Q,True,2023,143.67,2.38
Q. Jasa Kesehatan dan Kegiatan Sosial,Q,True,2024,145.53,1.3
Q. Jasa Kesehatan dan Kegiatan Sosial,Q,True,2025,148.51,2.05
"R,S,T,U. Jasa Lainnya","R,S,T,U",True,2021,157.58,2.14
"R,S,T,U. Jasa Lainnya","R,S,T,U",True,2022,169.58,7.61
"R,S,T,U. Jasa Lainnya","R,S,T,U",True,2023,176.46,4.06
"R,S,T,U. Jasa Lainnya","R,S,T,U",True,2024,179.95,1.98
"R,S,T,U. Jasa Lainnya","R,S,T,U",True,2025,184.85,2.72
Produk Domestik Regional Bruto (PDRB),TOTAL,True,2021,152.32,4.88
Produk Domestik Regional Bruto (PDRB),TOTAL,True,2022,162.4,6.62
Produk Domestik Regional Bruto (PDRB),TOTAL,True,2023,165.89,2.15
Produk Domestik Regional Bruto (PDRB),TOTAL,True,2024,167.88,1.19
Produk Domestik Regional Bruto (PDRB),TOTAL,True,2025,170.03,1.28
PDRB Non Migas,TOTAL_NON_MIGAS,True,2021,154.22,3.02
PDRB Non Migas,TOTAL_NON_MIGAS,True,2022,161.87,4.96
PDRB Non Migas,TOTAL_NON_MIGAS,True,2023,166.62,2.93
PDRB Non Migas,TOTAL_NON_MIGAS,True,2024,168.72,1.26
PDRB Non Migas,TOTAL_NON_MIGAS,True,2025,171.78,1.81
